,word,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,mean
115,строгий_ADJ,0.650610089302063,0.6752196550369263,0.6702548861503601,0.6090943813323975,0.5921555757522583,0.6063845157623291,0.6636502742767334,0.6703596115112305,0.5762513279914856,0.5953721404075623,0.5840229392051697,0.5785103440284729,0.5828140377998352,0.562592089176178,0.6066010892391205
116,сумасшедший_ADJ,0.8259139060974121,0.8615251183509827,0.8488768339157104,0.8618950843811035,0.8551948666572571,0.8552905917167664,0.8338349461555481,0.8003166913986206,0.8349205851554871,0.8535032272338867,0.8693376779556274,0.8471927642822266,0.844770073890686,0.8295585513114929,0.8277362287044525
117,сухой_ADJ,0.8292322754859924,0.8568429946899414,0.8524571657180786,0.8089891076087952,0.8203782439231873,0.8023678660392761,0.8081896305084229,0.7577273845672607,0.7370710372924805,0.7599314451217651,0.7377986907958984,0.7402592897415161,0.8038138747215271,0.7617622017860413,0.7954972386360168
118,счастливый_ADJ,0.789175271987915,0.8343437314033508,0.8504790663719177,0.8582179546356201,0.8597798943519592,0.8675255179405212,0.8600984811782837,0.8460652828216553,0.8592215180397034,0.8600364327430725,0.8536403179168701,0.8464754819869995,0.8341817259788513,0.8109335899353027,0.8000544309616089
119,сырой_ADJ,0.876167893409729,0.9009740352630615,0.8929654955863953,0.8374379873275757,0.850329577922821,0.8370870351791382,0.8443257212638855,0.8175262808799744,0.7931062579154968,0.774246871471405,0.779188871383667,0.767750084400177,0.7477021217346191,0.7365173101425171,0.806342601776123
120,теплый_ADJ,0.823763370513916,0.8560627698898315,0.8628728985786438,0.8036096096038818,0.7890616655349731,0.8057072162628174,0.8035778403282166,0.7881317734718323,0.7997443675994873,0.790726363658905,0.7862236499786377,0.7990984320640564,0.8266035318374634,0.7785913348197937,0.8011773526668549
121,толстый_ADJ,0.8958364725112915,0.924240231513977,0.9214526414871216,0.9110362529754639,0.9149253964424133,0.9143246412277222,0.915155291557312,0.901928186416626,0.9020155668258667,0.8969683051109314,0.893698513507843,0.9016490578651428,0.9109219908714294,0.8771492838859558,0.8864928781986237
122,тонкий_ADJ,0.8764129877090454,0.9098083972930908,0.9133992195129395,0.885339617729187,0.8838078379631042,0.8825414776802063,0.8745769262313843,0.8472346067428589,0.8661515712738037,0.8645830750465393,0.8416039347648621,0.8472254276275635,0.8670997023582458,0.8494426012039185,0.8629277944564819
123,трудный_ADJ,0.6385555267333984,0.682428240776062,0.6887642741203308,0.6368297934532166,0.6909788250923157,0.6983346939086914,0.7217399477958679,0.6642009019851685,0.6942153573036194,0.6988629102706909,0.6930646300315857,0.6890408396720886,0.7077735662460327,0.7042715549468994,0.6714135408401489
124,тугой_ADJ,0.8303743600845337,0.9210272431373596,0.9230170845985413,0.9046165347099304,0.8942422866821289,0.8854310512542725,0.8873820304870605,0.8701636791229248,0.8847420811653137,0.8847081065177917,0.8210107684135437,0.8061233162879944,0.8538559079170227,,0.8303743600845337
125,тяжелый_ADJ,0.7110487818717957,0.712960422039032,0.7237696051597595,0.6856597661972046,0.6580787301063538,0.6845970749855042,0.7296280264854431,0.7194072008132935,0.690029501914978,0.6893841028213501,0.7007686495780945,0.7060140371322632,0.723981499671936,0.7207983732223511,0.7159235775470734
