,WORD,frequency,mean_dist_procrustes,mean_dist_globalanchors,sum_deltas_procrustes,sum_deltas_globalanchors
58,незаметный_ADJ,5.093585615085787e-05,0.36454329057596624,0.9566312430542894,0.0,0.0
59,печатный_ADJ,5.0641354540264055e-05,0.36058306228369474,0.9774583898251876,0.5,0.0
60,греческий_ADJ,0.00011970336190466412,0.40616194158792496,0.9362990851514041,0.0,0.0
61,железнодорожный_ADJ,0.00012022825910828748,0.3616918185725808,0.9713049168349244,0.0,0.5
62,вечерний_ADJ,0.0001430713446222489,0.3702194611541927,0.9898058591934387,0.5,0.0
63,всеобщий_ADJ,0.00014601693436777006,0.3677615113556385,0.9649559203462559,0.0,0.0
64,двойной_ADJ,0.00010885718404185132,0.4225296024233103,0.9931078601875925,0.5,0.0
65,служебный_ADJ,0.00011134522591014823,0.3740929067134857,0.9765438889153302,0.5,0.0
66,конкретный_ADJ,0.00022785459958390395,0.42866174690425396,0.9507692400366068,0.5,0.0
67,пятый_ADJ,0.00023132633514904693,0.36261607706546783,0.9959673549747095,0.5,0.0
68,лохматый_ADJ,4.4436346352023145e-05,0.36735275760293007,0.7605203092098236,0.0,0.5
69,славянский_ADJ,4.460993066198841e-05,0.3940888065844774,0.8853750005364418,0.5,0.5
70,вкусный_ADJ,9.608627577823507e-05,0.34126346837729216,0.9330568099394441,0.0,0.5
71,немалый_ADJ,9.723830934574e-05,0.3636699356138706,0.9706231486052275,0.0,0.0
72,академический_ADJ,5.102563597513505e-05,0.464862197637558,0.988215901888907,0.5,0.5
73,христов_ADJ,5.077396008136611e-05,0.3121256474405527,0.9504203260876238,0.5,0.5
74,приморский_ADJ,2.7964221994272996e-05,0.3488421253859997,0.9539380725473166,0.5,0.0
75,непременный_ADJ,2.7860518507797032e-05,0.3318336233496666,0.9790658990386873,0.5,0.0
76,первый_ADJ,0.004570924485166475,0.44168372824788094,0.9742638523457572,0.0,0.0
77,какой-то_ADJ,0.002862455624337174,0.4395230896770954,0.9051830116659403,0.0,0.0
78,азиатский_ADJ,2.548036331014701e-05,0.4035848416388035,0.8331117816269398,0.5,0.5
79,специализированный_ADJ,2.431712129814885e-05,0.39250616263598204,0.9763104617668432,0.5,0.5
80,милицейский_ADJ,4.494096801267286e-05,0.39667804166674614,0.7983093187212944,-0.5,0.5
81,организационный_ADJ,4.516245252697681e-05,0.372949292534031,0.9767213328159414,0.5,0.5
82,второй_ADJ,0.0017478269018341111,0.4336845241487026,0.9773559933528304,0.5,0.0
83,советский_ADJ,0.0016582976746536845,0.3588515482842922,0.9871678731869906,0.0,0.0
84,громкий_ADJ,0.00011052889868378685,0.36435650289058685,0.918815259472467,0.0,0.5
85,математический_ADJ,0.0001106851041342334,0.3742102747783065,0.9802819853648543,-0.5,0.5
86,чайный_ADJ,4.091697821394858e-05,0.34560943488031626,0.7598699554800987,1.0,0.5
87,бархатный_ADJ,4.117742941454838e-05,0.3534566177986562,0.7078368868678808,-0.5,0.5
88,женский_ADJ,0.0003040087758805674,0.36887994594872,0.9235675483942032,0.0,0.0
89,западный_ADJ,0.00029437986599754266,0.4275401718914509,0.9892076370597351,0.0,0.0
90,французский_ADJ,0.0003668683778591259,0.33365326561033726,0.9810074001434259,1.0,0.0
91,прежний_ADJ,0.000352178592934068,0.39566160552203655,0.9630578168143984,0.5,0.0
92,параллельный_ADJ,4.028132541279319e-05,0.34859364479780197,1.000097401556559,1.0,-0.5
93,этакий_ADJ,4.0391830440042795e-05,0.41856831684708595,0.7795877922326326,-0.5,0.5
94,кавказский_ADJ,5.927452176068199e-05,0.3955194808077067,0.872160472907126,0.0,0.5
95,рыбный_ADJ,5.9861261247023866e-05,0.362447164952755,0.8610121589154005,0.0,0.5
