,word,pre-soviet,soviet-post,mean
77,педагогичный_ADJ,,,
78,печальный_ADJ,0.687609851360321,0.6348200440406799,0.6612149477005005
79,пикантный_ADJ,0.5878407955169678,0.6377297639846802,0.612785279750824
80,пламенный_ADJ,0.6596068739891052,0.597006618976593,0.6283067464828491
81,плохой_ADJ,0.6532838940620422,0.6928564310073853,0.6730701625347137
82,полезный_ADJ,0.7671668529510498,0.7379763722419739,0.7525716125965118
83,положительный_ADJ,0.795403242111206,0.7575441598892212,0.7764737010002136
84,поразительный_ADJ,0.7386330962181091,0.7041269540786743,0.7213800251483917
85,последний_ADJ,0.7181071639060974,0.6684930920600891,0.6933001279830933
86,постный_ADJ,0.6826208829879761,0.6916471719741821,0.6871340274810791
87,правый_ADJ,0.6245883703231812,0.6248324513435364,0.6247104108333588
88,праздничный_ADJ,0.6446260809898376,0.6389889717102051,0.6418075263500214
89,превосходный_ADJ,0.6989170908927917,0.59041428565979,0.6446656882762909
90,прекрасный_ADJ,0.7181105017662048,0.6687697768211365,0.6934401392936707
91,престижный_ADJ,,,
92,привлекательный_ADJ,0.7349386811256409,0.649570643901825,0.6922546625137329
93,провинциальный_ADJ,0.6284545063972473,0.6718356609344482,0.6501450836658478
94,проклятый_ADJ,0.6969238519668579,0.6737604737281799,0.6853421628475189
95,простой_ADJ,0.7662429809570312,0.7359731793403625,0.7511080801486969
96,противный_ADJ,0.544346034526825,0.6441264152526855,0.5942362248897552
97,прохладный_ADJ,0.7663977742195129,0.7700980305671692,0.7682479023933411
98,прямой_ADJ,0.7470977902412415,0.731884241104126,0.7394910156726837
99,пустой_ADJ,0.5571165680885315,0.6797199845314026,0.618418276309967
100,растительный_ADJ,0.7551748752593994,0.7606548070907593,0.7579148411750793
101,резкий_ADJ,0.7346765398979187,0.697815477848053,0.7162460088729858
102,резонный_ADJ,0.4905218183994293,0.5186871886253357,0.5046045035123825
103,родной_ADJ,0.6243728399276733,0.6342340111732483,0.6293034255504608
104,свежий_ADJ,0.7095382213592529,0.6722116470336914,0.6908749341964722
105,сволочной_ADJ,,,
106,священный_ADJ,0.7103319764137268,0.7483795881271362,0.7293557822704315
107,семейный_ADJ,0.6717275381088257,0.6402881741523743,0.6560078561306
108,серый_ADJ,0.7991507649421692,0.813998818397522,0.8065747916698456
109,сильный_ADJ,0.7684921622276306,0.730290949344635,0.7493915557861328
110,слабый_ADJ,0.7528433203697205,0.7341753244400024,0.7435093224048615
111,слащавый_ADJ,0.5948435664176941,0.5605370998382568,0.5776903331279755
112,смелый_ADJ,0.7103715538978577,0.662293553352356,0.6863325536251068
113,соленый_ADJ,0.7367722392082214,0.7366456389427185,0.73670893907547
114,страшный_ADJ,0.7278528213500977,0.6600319743156433,0.6939423978328705
115,строгий_ADJ,0.6817888617515564,0.6835895776748657,0.6826892197132111
116,сумасшедший_ADJ,0.5710070133209229,0.5984203219413757,0.5847136676311493
117,сухой_ADJ,0.7719695568084717,0.806020975112915,0.7889952659606934
118,счастливый_ADJ,0.6927682161331177,0.6358129382133484,0.664290577173233
119,сырой_ADJ,0.792397141456604,0.8195217847824097,0.8059594631195068
120,теплый_ADJ,0.7346933484077454,0.7388225793838501,0.7367579638957977
121,толстый_ADJ,0.8095260262489319,0.8147119879722595,0.8121190071105957
122,тонкий_ADJ,0.8086920380592346,0.8076773285865784,0.8081846833229065
123,трудный_ADJ,0.7482545971870422,0.7346608638763428,0.7414577305316925
124,тугой_ADJ,0.8164753317832947,0.8461171388626099,0.8312962353229523
125,тяжелый_ADJ,0.6766979098320007,0.6665772199630737,0.6716375648975372
126,ужасный_ADJ,0.6906010508537292,0.6153226494789124,0.6529618501663208
127,уместный_ADJ,0.7167569398880005,0.6573789715766907,0.6870679557323456
128,умный_ADJ,0.7417492270469666,0.7419812679290771,0.7418652474880219
129,упрямый_ADJ,0.710351824760437,0.7052465677261353,0.7077991962432861
130,холодный_ADJ,0.7045223116874695,0.7300806641578674,0.7173014879226685
131,хороший_ADJ,0.7076005339622498,0.681829035282135,0.6947147846221924
132,человеческий_ADJ,0.8073915243148804,0.798471987247467,0.8029317557811737
133,черный_ADJ,0.8198506236076355,0.8099941611289978,0.8149223923683167
134,чертов_ADJ,0.7408443689346313,0.6976643800735474,0.7192543745040894
135,четкий_ADJ,0.3952532410621643,0.6931806206703186,0.5442169308662415
136,чистый_ADJ,0.7343446612358093,0.7129605412483215,0.7236526012420654
137,чудовищный_ADJ,0.7314687967300415,0.6647399067878723,0.6981043517589569
138,элементарный_ADJ,0.7984264492988586,0.7801318764686584,0.7892791628837585
139,эффектный_ADJ,0.7024017572402954,0.6407642960548401,0.6715830266475677
140,яркий_ADJ,0.7630757689476013,0.7224413156509399,0.7427585422992706
