,word,pre-soviet,soviet-post,mean
61,нерадивый_ADJ,0.560402512550354,0.6908538341522217,0.6256281733512878
62,неслыханный_ADJ,0.7771235108375549,0.720425546169281,0.748774528503418
63,несправедливый_ADJ,0.7829657196998596,0.7683364152908325,0.7756510674953461
64,неудачный_ADJ,0.770664393901825,0.7781096696853638,0.7743870317935944
65,неуместный_ADJ,0.7732037901878357,0.7715860605239868,0.7723949253559113
66,низкий_ADJ,0.7716391682624817,0.8035287857055664,0.787583976984024
67,нищенский_ADJ,0.7309067249298096,0.6346403360366821,0.6827735304832458
68,нормальный_ADJ,0.7950807213783264,0.7945426106452942,0.7948116660118103
69,нудный_ADJ,0.6285406351089478,0.7294090390205383,0.678974837064743
70,обаятельный_ADJ,0.6176941394805908,0.7934903502464294,0.7055922448635101
71,обшарпанный_ADJ,,,
72,опасный_ADJ,0.8165571689605713,0.8258713483810425,0.8212142586708069
73,острый_ADJ,0.8015733361244202,0.8345885872840881,0.8180809617042542
74,ответственный_ADJ,0.7152114510536194,0.766319751739502,0.7407656013965607
75,открытый_ADJ,0.8143183588981628,0.8115682601928711,0.812943309545517
76,отличный_ADJ,0.7942541241645813,0.8071631789207458,0.8007086515426636
77,педагогичный_ADJ,,,
78,печальный_ADJ,0.8296200633049011,0.8098731637001038,0.8197466135025024
79,пикантный_ADJ,0.7472203969955444,0.74260413646698,0.7449122667312622
80,пламенный_ADJ,0.7184445858001709,0.6803900599479675,0.6994173228740692
81,плохой_ADJ,0.7999449372291565,0.8567195534706116,0.828332245349884
82,полезный_ADJ,0.818731427192688,0.7910653948783875,0.8048984110355377
83,положительный_ADJ,0.6251232028007507,0.6551746129989624,0.6401489078998566
84,поразительный_ADJ,0.7485408186912537,0.776506781578064,0.7625238001346588
85,последний_ADJ,0.8625115156173706,0.86142498254776,0.8619682490825653
86,постный_ADJ,0.7179000377655029,0.7058501243591309,0.7118750810623169
87,правый_ADJ,0.8102181553840637,0.790009081363678,0.8001136183738708
88,праздничный_ADJ,0.7839356064796448,0.7774021625518799,0.7806688845157623
89,превосходный_ADJ,0.7663374543190002,0.6983497142791748,0.7323435842990875
90,прекрасный_ADJ,0.8419572710990906,0.8291118741035461,0.8355345726013184
91,престижный_ADJ,,,
92,привлекательный_ADJ,0.8141797184944153,0.7406829595565796,0.7774313390254974
93,провинциальный_ADJ,0.7479588389396667,0.7660061717033386,0.7569825053215027
94,проклятый_ADJ,0.7140950560569763,0.7373245358467102,0.7257097959518433
