,WORD,frequency,mean_dist_globalanchors,sum_deltas_globalanchors,mean_dist_procrustes,sum_deltas_procrustes
29,арабский_ADJ,2.6539953051106083e-05,0.2872089147567749,1.0,0.27074073255062103,1.0
30,десятый_ADJ,4.4009961504811816e-05,0.33191484212875366,1.0,0.19804488122463226,1.0
31,многие_ADJ,0.000720588738840171,0.18743880093097687,1.0,0.19489668309688568,0.3333333333333333
32,японский_ADJ,7.64950242468385e-05,0.29684267938137054,0.3333333333333333,0.33242367208004,0.3333333333333333
33,конституционный_ADJ,2.0400782676929386e-05,0.2471940666437149,0.3333333333333333,0.36003918945789337,0.3333333333333333
34,третий_ADJ,0.00043337559370769965,0.3774747848510742,1.0,0.1934601217508316,1.0
35,комсомольский_ADJ,4.3874735410760555e-05,0.27086062729358673,0.3333333333333333,0.31141649186611176,1.0
36,незнакомый_ADJ,8.448275612479408e-05,0.35529716312885284,0.3333333333333333,0.20642538368701935,1.0
37,ближайший_ADJ,9.844677671762641e-05,0.28822506964206696,1.0,0.23345933854579926,1.0
38,актерский_ADJ,2.962714376506286e-05,0.2004573494195938,1.0,0.2205485999584198,1.0
39,мощный_ADJ,0.00012629762068653717,0.1968461126089096,1.0,0.18402543663978577,1.0
40,круглый_ADJ,0.00012102187952441266,0.17672514915466309,1.0,0.2718588560819626,1.0
41,тайный_ADJ,8.854547104565134e-05,0.24640659987926483,1.0,0.28057436645030975,1.0
42,географический_ADJ,2.6771093148908578e-05,0.19765517115592957,1.0,0.24322469532489777,1.0
43,домашний_ADJ,0.00010848030359845796,0.30291247367858887,1.0,0.30784840881824493,1.0
44,больной_ADJ,9.82868422329599e-05,0.26991961896419525,0.3333333333333333,0.22727735340595245,1.0
45,биологический_ADJ,5.751297339730026e-05,0.18525151908397675,0.3333333333333333,0.2546822428703308,1.0
46,положенный_ADJ,6.561005162654384e-05,0.3887040466070175,1.0,0.2867954224348068,1.0
47,производственный_ADJ,6.13836581002464e-05,0.19393421709537506,1.0,0.2465139925479889,1.0
48,экономический_ADJ,0.00019278953194363927,0.18253254890441895,1.0,0.23192483186721802,1.0
49,крошечный_ADJ,3.2410932708808e-05,0.1476079672574997,1.0,0.2078106552362442,1.0
50,летний_ADJ,7.795722011821799e-05,0.219126358628273,1.0,0.2156922072172165,1.0
51,психологический_ADJ,7.746337981273721e-05,0.15557371079921722,1.0,0.23837360739707947,1.0
52,южный_ADJ,9.669962380011473e-05,0.21967411041259766,1.0,0.2646375596523285,0.3333333333333333
53,бюджетный_ADJ,2.5134708149146947e-05,0.2491554319858551,1.0,0.3544021099805832,1.0
54,зарубежный_ADJ,6.458317604198011e-05,0.19009748101234436,0.3333333333333333,0.2284063845872879,1.0
55,конечный_ADJ,7.601948622741944e-05,0.20406949520111084,1.0,0.31784065067768097,1.0
56,учебный_ADJ,8.979056284785473e-05,0.22988197207450867,0.3333333333333333,0.28445933759212494,1.0
57,судебный_ADJ,7.858112054437712e-05,0.2173951119184494,1.0,0.2813935726881027,1.0
58,обратный_ADJ,8.807818199532542e-05,0.31750236451625824,0.3333333333333333,0.21360908448696136,1.0
59,исторический_ADJ,0.00019904076626340263,0.14454461634159088,1.0,0.26195676624774933,1.0
60,гражданский_ADJ,0.0001446336880717198,0.21682311594486237,1.0,0.29666900634765625,0.3333333333333333
61,политический_ADJ,0.0002978119030772804,0.16435983777046204,1.0,0.3046976774930954,0.3333333333333333
62,чрезвычайный_ADJ,2.7701537024405865e-05,0.20299045741558075,1.0,0.26181840896606445,1.0
63,фактический_ADJ,2.2157372952709393e-05,0.16753830015659332,1.0,0.2351546585559845,0.3333333333333333
64,государственный_ADJ,0.0003716224518886716,0.19528737664222717,1.0,0.3165476769208908,0.3333333333333333
