,word,mean_dist,mean_freq
172,следственный_ADJ,0.6556755630299449,2.0780034657225495e-05
144,этимологический_ADJ,0.65552918612957,8.466153631994699e-07
151,безбожный_ADJ,0.6544225700199604,4.031362045507322e-06
5,неправедный_ADJ,0.6524548027664423,3.6964266829687604e-06
81,складной_ADJ,0.6511988304555416,5.6205542923485285e-06
74,полноватый_ADJ,0.6500031128525734,1.2241386924522343e-06
1,доисторический_ADJ,0.6497681923210621,4.151007207228184e-06
230,ухабистый_ADJ,0.644535306841135,6.095946237195148e-07
188,массивный_ADJ,0.6445255614817142,1.7054650067296803e-05
102,пограничный_ADJ,0.6444830417749472,2.328676682410185e-05
175,двубортный_ADJ,0.6438715448603034,1.0239486074090687e-06
187,уголовный_ADJ,0.6428982857614756,7.526104388599371e-05
109,психофизический_ADJ,0.6428875997662544,2.130856256793494e-06
104,спорный_ADJ,0.6420433109742589,1.2702534541684689e-05
231,тенишевский_ADJ,0.6404912900179625,6.010457022665692e-07
147,трясущийся_ADJ,0.6386631652712822,3.4024030861745233e-07
195,переводной_ADJ,0.638453746214509,3.3813955298690763e-06
56,нотный_ADJ,0.6367563679814339,3.6865086486942953e-06
78,разноязычный_ADJ,0.6357843838632107,8.004170993785656e-07
3,полусонный_ADJ,0.6350745223462582,2.7878919244208233e-06
207,неподкупный_ADJ,0.6338381636887789,2.479774693585782e-06
242,колокольный_ADJ,0.6328749842941761,6.827110091206395e-06
141,игольчатый_ADJ,0.6322818547487259,9.878724602605625e-07
107,грамматический_ADJ,0.6321046222001314,8.201723110582729e-06
160,обольстительный_ADJ,0.6319837793707848,3.000480251173724e-06
100,отекший_ADJ,0.6312805712223053,4.5536925249754897e-07
126,защитительный_ADJ,0.6298418045043945,1.295365578866228e-06
185,прогорклый_ADJ,0.6277146600186825,8.168343736028083e-07
128,благотворительный_ADJ,0.6275218397495337,1.4666208766863314e-05
163,леопардовый_ADJ,0.6272471696138382,4.2966018685661526e-07
79,внучатый_ADJ,0.6267150789499283,8.060634068907634e-07
174,братоубийственный_ADJ,0.6262054741382599,1.038321427234889e-06
76,благовоспитанный_ADJ,0.6261500921100378,2.2907803584341737e-06
117,похвальный_ADJ,0.6255114693194628,9.173567801367481e-06
67,жидкий_ADJ,0.6223357804119587,3.531331660232411e-05
66,волшебный_ADJ,0.6218845373950899,3.7619014303087543e-05
199,равносторонний_ADJ,0.6218387484550476,3.819391169496397e-07
73,аспидный_ADJ,0.6202325969934464,1.0315780626640828e-06
98,неподражаемый_ADJ,0.6193143893033266,2.4957882082393566e-06
41,повышенный_ADJ,0.6185436323285103,9.172518843179537e-06
139,припухлый_ADJ,0.6166683919727802,7.198577903782481e-07
83,заплесневелый_ADJ,0.6148280203342438,1.0769696475577965e-06
164,венчальный_ADJ,0.6105200797319412,1.1844917198081825e-06
44,встречный_ADJ,0.6104204915463924,2.841679612788662e-05
101,малосольный_ADJ,0.6100421845912933,9.545775701553322e-07
235,деликатный_ADJ,0.6097663417458534,1.273290607428648e-05
91,осоловелый_ADJ,0.6097637116909027,5.242551134290063e-07
201,лавровый_ADJ,0.6058921031653881,5.0155604965530004e-06
142,архитектурный_ADJ,0.6057297233492136,1.8534734111114423e-05
119,прибыльный_ADJ,0.6050447300076485,4.51022445378232e-06
212,подъездный_ADJ,0.6044628396630287,1.2770548920099023e-06
29,плебейский_ADJ,0.6041698157787323,1.5611786564863484e-06
118,утомительный_ADJ,0.6037845006212592,9.63101827863427e-06
30,коротконогий_ADJ,0.6010602712631226,1.604138195594512e-06
244,тополевой_ADJ,0.6009991094470024,6.380237366033819e-07
134,овсяный_ADJ,0.6008794084191322,1.718675934224252e-06
132,энергичный_ADJ,0.5996705805882812,3.109369668140913e-05
0,чужеземный_ADJ,0.5982086136937141,4.161570526531244e-06
225,клочковатый_ADJ,0.5971448868513107,1.164814548071981e-06
31,бесцельный_ADJ,0.5967163443565369,4.661619893256433e-06
4,незатейливый_ADJ,0.5956649333238602,3.848355847835924e-06
51,фаршированный_ADJ,0.5946615412831306,6.678356281844689e-07
154,заботливый_ADJ,0.5945213008671999,1.0769980859689185e-05
124,неурожайный_ADJ,0.59333620313555,8.579279626860665e-07
45,сознательный_ADJ,0.5912323426455259,3.0651514228705483e-05
106,треугольный_ADJ,0.5895667895674706,7.951390827369265e-06
34,скульптурный_ADJ,0.5892353150993586,5.2634956695111e-06
77,мозаичный_ADJ,0.5852220132946968,2.3162890271000594e-06
204,глубочайший_ADJ,0.5838004499673843,7.681790513507354e-06
228,гнойный_ADJ,0.5820190757513046,2.4854513089138966e-06
181,всемилостивый_ADJ,0.5817089900374413,1.3084491426056815e-06
61,неугасимый_ADJ,0.5812399014830589,2.1528465228703496e-06
200,непослушный_ADJ,0.5757151693105698,4.831136014042262e-06
159,тыльный_ADJ,0.574915923178196,3.233987930359256e-06
179,безжизненный_ADJ,0.5733387619256973,7.287835273084725e-06
240,вавилонский_ADJ,0.5723710283637047,6.3841093379926336e-06
129,безмолвный_ADJ,0.5709802508354187,1.4950799272696658e-05
103,бархатный_ADJ,0.5702362321317196,2.618280197519682e-05
220,широкоплечий_ADJ,0.5695601012557745,6.397150043078792e-06
40,оглушительный_ADJ,0.5687778145074844,9.942179904525895e-06
64,монотонный_ADJ,0.5674931518733501,5.958643992005677e-06
173,безусловный_ADJ,0.5660429373383522,1.9872683908417215e-05
243,радушный_ADJ,0.5659824013710022,6.647638817652411e-06
65,жилистый_ADJ,0.5627347156405449,5.781240277345232e-06
223,фиолетовый_ADJ,0.5624912232160568,1.6018020964695174e-05
155,желтоватый_ADJ,0.5624349489808083,1.0553713228539934e-05
192,незапертый_ADJ,0.5620006732642651,1.1411347344938793e-06
15,заплаканный_ADJ,0.5618845373392105,8.88719245073147e-07
239,сипловатый_ADJ,0.560443751513958,3.666698830858956e-07
